Region,Group,ClassID,start_date,end_date,n_rows,valid_rows
Bohol,10-30,8,2012-01-19,2024-12-31,4692,3098
Bohol,11-30,7,2012-01-19,2024-12-31,4692,3090
Bohol,12-30,6,2012-01-19,2024-12-31,4692,3082
Bohol,13-30,5,2012-01-19,2024-12-31,4692,3067
Bohol,21-30,4,2012-01-19,2024-12-31,4692,3047
Bohol,22-30,3,2012-01-19,2024-12-31,4692,2909
Bohol,23-30,2,2012-01-19,2024-12-31,4692,2699
Bohol,30,1,2012-01-19,2024-12-31,4692,1931
Cebu,10-30,8,2012-01-19,2024-12-31,4692,3386
Cebu,11-30,7,2012-01-19,2024-12-31,4692,3382
Cebu,12-30,6,2012-01-19,2024-12-31,4692,3374
Cebu,13-30,5,2012-01-19,2024-12-31,4692,3364
Cebu,21-30,4,2012-01-19,2024-12-31,4692,3356
Cebu,22-30,3,2012-01-19,2024-12-31,4692,3276
Cebu,23-30,2,2012-01-19,2024-12-31,4692,3228
Cebu,30,1,2012-01-19,2024-12-31,4692,2604
Negros,10-30,8,2012-01-19,2024-12-31,4692,3480
Negros,11-30,7,2012-01-19,2024-12-31,4692,3480
Negros,12-30,6,2012-01-19,2024-12-31,4692,3467
Negros,13-30,5,2012-01-19,2024-12-31,4692,3427
Negros,21-30,4,2012-01-19,2024-12-31,4692,3389
Negros,22-30,3,2012-01-19,2024-12-31,4692,3284
Negros,23-30,2,2012-01-19,2024-12-31,4692,3215
Negros,30,1,2012-01-19,2024-12-31,4692,2799
Panay,10-30,8,2012-01-19,2024-12-31,4692,3453
Panay,11-30,7,2012-01-19,2024-12-31,4692,3453
Panay,12-30,6,2012-01-19,2024-12-31,4692,3436
Panay,13-30,5,2012-01-19,2024-12-31,4692,3401
Panay,21-30,4,2012-01-19,2024-12-31,4692,3369
Panay,22-30,3,2012-01-19,2024-12-31,4692,3307
Panay,23-30,2,2012-01-19,2024-12-31,4692,3219
Panay,30,1,2012-01-19,2024-12-31,4692,2768
Samar-Leyte,10-30,8,2012-01-19,2024-12-31,4692,3836
Samar-Leyte,11-30,7,2012-01-19,2024-12-31,4692,3834
Samar-Leyte,12-30,6,2012-01-19,2024-12-31,4692,3817
Samar-Leyte,13-30,5,2012-01-19,2024-12-31,4692,3789
Samar-Leyte,21-30,4,2012-01-19,2024-12-31,4692,3746
Samar-Leyte,22-30,3,2012-01-19,2024-12-31,4692,3688
Samar-Leyte,23-30,2,2012-01-19,2024-12-31,4692,3547
Samar-Leyte,30,1,2012-01-19,2024-12-31,4692,3003
