Location,Valid Pixels (%),Gap-Filled Pixels (%),DNB Mean ± STD,Gap-Filled Mean ± STD,Max Dropout (days),Median Latest HQ Retrieval (days),% HQ = 0 (Same-day)
Tacloban_City,1013 (30.8%),2272 (69.2%),20.89 ± 9.01,28.43 ± 14.40,11,2,24.73
Ormoc_City,966 (29.4%),2319 (70.6%),11.64 ± 6.11,14.07 ± 7.24,15,2,23.26
Baybay_City,870 (26.5%),2415 (73.5%),4.41 ± 2.54,6.61 ± 3.27,15,3,21.66
Palo,1107 (33.7%),2178 (66.3%),4.81 ± 3.22,6.01 ± 3.58,13,2,27.65
Alang_Alang,1105 (33.6%),2180 (66.4%),1.08 ± 0.82,0.84 ± 1.03,11,2,33.03
Guiuan,931 (28.3%),2354 (71.7%),3.16 ± 1.62,3.49 ± 2.01,15,2,22.07
Samar_Forest_Reserve,1105 (33.6%),2180 (66.4%),0.52 ± 0.26,0.16 ± 0.06,12,1,35.65
Mt_Nacolod_Upland,1076 (32.8%),2209 (67.2%),0.54 ± 0.27,0.19 ± 0.07,13,1,35.1
Central_Leyte_Forest,716 (21.8%),2569 (78.2%),1.09 ± 0.35,0.17 ± 0.07,18,3,23.1
Southern_Leyte_Gulf,376 (11.4%),2909 (88.6%),0.37 ± 0.10,0.05 ± 0.03,61,4,15.94
