Mask,Mask_Label,Group,ValidPct,Composite,pearson_r,spearman_r,R2,RMSE,MAE,coverage_pct,n_days
G1,Urban Core,30,5,0.904,0.82,0.77,0.65,0.6,0.49,53.54,2533
G1,Urban Core,30,10,0.9,0.84,0.8,0.69,0.56,0.46,49.33,2334
G2,Dense Urban,23-30,5,0.898,0.79,0.76,0.58,0.65,0.53,57.92,2740
G2,Dense Urban,23-30,10,0.89,0.81,0.79,0.62,0.61,0.49,52.63,2490
G1,Urban Core,30,15,0.89,0.85,0.81,0.7,0.55,0.46,46.31,2191
G3,Core & Inner,22-30,5,0.889,0.77,0.74,0.54,0.68,0.55,59.06,2794
G2,Dense Urban,23-30,15,0.886,0.83,0.82,0.66,0.58,0.47,48.62,2300
G3,Core & Inner,22-30,10,0.88,0.8,0.77,0.59,0.64,0.52,53.31,2522
G1,Urban Core,30,20,0.878,0.85,0.81,0.7,0.54,0.45,43.48,2057
G2,Dense Urban,23-30,20,0.872,0.83,0.82,0.67,0.58,0.47,45.34,2145
